Location,Phone No,Address
Jammu,9315186621,"CSC E governance services india limited, 23/5 a, tirupta nagar, opp. Tirupta palace, Jammu"
Patna,9898536464,"CTRLS- 6th floor, Plot no:-18, Patliputra Industrial Area, Patliputra, Patna, Bihar 800013"
Tirupati,8754808858,"STPI DC Survey No. 234, behind ShilpaRamam - Urban Haat, Tirupati, Andhra Pradesh 517501"
Coimbatore,8754808858,"ISHAN Netsol Classic Towers, 104, 5th floor, 1547, Trichy road, Coimbatore - 641018"
Raipur,9898536464,"Ashoka Millennium, office no - 1, 6th Floor, Ring Road no-1, Near Rajendra Nagar, Chhattisgarh, 492001"
Bhubneshwar,9898536464,"Sify DC, Keshari Commercial Complex, Plot No 98 , 2nd Floor , Unit 3, Kharavela Nagar , Bhubaneswar - 751001"
Cuttack,9898536464,"1st Floor,Plot No-741/2309,KB Complex,Station Road,Cuttack"
Nagpur,9930989877,"Ishan DC, 704 A Wing Lokmat Bhavan, Lokmat Sq. Ramdaspeth Wardha Road Nagpur 44001"
Jabalpur,9930989877,"S-1, Second floor, Jain Tower, Russel Chowk, Napier Town, Jabalpur 482001."
Visakhapatnam,8754808858,"Visakhapatnam (Vizag) - Sify DC, City Plaza, Dabagardens,Allipuram Ward, Block No.41, TS No.1542 Door No.30-15-158,Vishakhapatam-530001"
Mumbai-Sify,9930989877,"NIXI C/o Sify, VAT 251, 5th & 6th Floor, International Infotech Park, Vashi, Navi Mumbai"
Noida-Netmagic,9315186621,"NIXI C/O, Netmagic IT Services Private Limited Building H - 223, Sector 63 Near Ginger Hotel Noida - 201301"
MUMBAI NETMAGIC,9199309898,"NIXI C/O Netmagic DC, Light Hall C Wing Hiranandani Business Park, Saki Vihar Road Chandivali Andheri East, Mumbai, Maharashtra, 400072"
DELHI,9315186621,"NIXI C/O, STT, IDC Building, Block E, Greater Kailash I, Greater Kailash New Delhi, Delhi 110048"
CHANDIGARH,9315186621,"SIFY DC, SCO 215-216-217, Sec 34A Chandigarh-160022"
BAREILLY,9315186621,"Rsbs Online Services Private limited, 214,civil lines, Bareilly, Uttar Pardesh, India.243001 MB:9258882888"
NASHIK,9930989877,"NIXI C/o Ishan Netsol Pvt Ltd ,The HUB, 2ND floor , Parijat Nagar b, Parijat Nagar, Nashik, Maharashtra"
Mumbai-Equinix (2),9930989877,"NIXI C/o Equinix Data center (GPX-2)., Plot 37, Chandivali Farm Road, Andheri East, Mumbai – 400 072"
TUTICORIN,8754808858,"Ceeyem Building18 D, South Raja Street,Tuticorin-628001"
VIJAYAWADA,8754808858,"D:No 40-2-5A,5th Floor,CVR Chambers,Beside Kalanikethan,Labbipet.Vijayawada-520010"
RANCHI,9898536464,"Sify DC, Green Field Centrium,5th Floor,Main Road,Opposite to Big Bazar,Ranchi-834001"
AIROLI-MUMBAI,9930989877,"Sify DC, 6th Floor, Reliable Plaza , Thane Belapur Road ,Airoli, Navi Mumbai-400706"
COCHIN NOC,8754808858,"DC, Infopark, Thapasya, Kusumagiri, Kakkanad,Cochin-682030"
THIRUVANANTHAPURAM,8754808858,"Kings Broadband, Anjanam, TC 69/1530(3) Chekkittavilakam, Attukal Road, Manacaud.P.O. Thiruvananthapuram 695009"
MADURAI,8754808858,"Sify DC, 30,Kamala 2nd St ,G P Building, Chinnachokkikulam Madurai-625002"
AMRITSAR,9315186621,"NIXI C/O Sify DC, SCF 50, KABIR PARK,OPPOSITE GNDU,AMRITSAR, PUNJAB.-143001"
SILIGURI,9898536464,"Sify DC, 160/1030, 2nd Floor,Haren Mukherjee Road, Hakimpara,Siliguri-734001"
SALEM,8754808858,"Sify DC, 66,5th floor,Fort Main Road,Salem-636002"
JALANDHAR,9315186621,"Sify DC, Nirmal Complex, EH 198,Civil Lines, GT Road,Jalandhar, Punjab-144001"
NOIDA-SIFY,9315186621,"Sify Greenfort DC, B7, Noida-Greater Noida Expy, B Block, Block A, Sector 132, Noida, Uttar Pradesh 201304"
NOIDA-CTRLS,9315186621,"CtrlS Datacenter, Plot No.13, Sector 127, Noida, Uttar Pradesh 201304"
THANE,9930989877,"Ishan Netsol, 211, 2nd floor, Swati Sagar co-op hsg Society, Majiwada Circle, Pokhran Road No-2,Thane (west) Mumbai Pincode-400606"
VASAI,9930989877,"NIXI C/O Ishan Netsol, Office no 25 1st floor Vrindavan Shopping, Evershine City Rd, Vasai East, Maharashtra 401208"
PUNE,9930989877,"Pune STT DC, JV37+JQ2, Alandi Rd, V S N L Old Colony, Dighi, Pune, Maharashtra 411015"
HYDERABAD-STT,8754808858,"NIXI C/O STT DC,Videsh Sanchar Bhavan, CFC-1, Software Units Layout, Madhapur, HITEC City, Hyderabad, Telangana 500081"
PURI,9898536464,"NIXI C/O Ishan Netsol DC, Plot N0: 161 , 1st Floor, iota, Gundicha temple back side, Near Indian oil petrol pump, Puri -752002"
BANGALORE-NEXTRA,8754808858,"NIXI C/O Nextra DC, Plot No: 111 & 112, Vijayanagar, EPIP Zone, Whitefield, Bengaluru, 560066"
CHENNAI-SANTHOME,8754808858,"NIXI C/O Bharti Airtel Towers, 101 Santhome High Road,Chennai, 600 028"
AURANGABAD,9930989877,"NIXI C/O Sify DC, IInd floor , Oberoy Chambers, Beside Hotel Amarpreet ,Jalna Road ,Aurangabad-431001"
MUMBAI CTRLS,9930989877,"NIXI C/O CtrlS DC, Electronic Zone, MIDC Industrial Area, Mahape, Navi Mumbai pin 400710"
MUMBAI STT,9930989877,"NIXI C/O STT DC, Lokmanya Videsh Sanchar Bhavan, Kashinath Dhuru Marg, OPP. Kirti College, Prahadevi, Mumbai, , 400028"
CHENNAI-SIFY,8754808858,"NIXI C/O. SIFY , II Floor, TIDEL Park, No.4, Canal Bank Road, Taramani, Chennai, Tamil Nadu 600113 India"
SOLAPUR,9930989877,"10G Telecom Data Centre, Venkatesh Apartment, F, No. 402, VIP Road, Near Malabar Glod Showroom, Solapur, Maharashtra pin 413001"
Bhusawal,9930989877,"Megaprime Network Pvt. Ltd., Survey No. 83/84, Second Floor, Old House No. 855 / New 2/2, Behind Amar Store, Morden Road, Bhusawal, Dist. Jalgaon – 425201"
